,Object,RelatedVerbs
0,person,"['cross_a_street', 'thank_another_person', 'wind_clock', 'voice_an_opinion', 'laugh_at_a_joke', 'board_a_plane', 'water_a_plant', 'reply_to_an_e-mail', 'catch_a_cold', 'iron_shirt', 'wave_to_a_friend', 'smoke_a_cigar', 'plant_a_tree', 'shoulder_a_burden', 'leave_his_house', 'taste_food', 'captain_a_ship', 'deal_drugs', 'thank_God', 'promise_to_do_something']"
1,bicycle,"['go_over_40mph', 'stop_with_its_brakes', 'travel_on_a_road', 'corner_sharply', 'stop_short']"
2,car,"['go_fast', 'crash', 'roll_over', 'slow_down', 'cost_a_lot_of_money', 'enter_that_garage', 'pass_another_car', 'be_heading_north', 'rush_through_traffic', 'come_up_the_drive', 'move_a_person', 'head_north', 'move_quickly', 'cost_money', 'pass_a_bus', 'need_petrol', 'pass_other_car', 'roll_downhill', 'carry_few_persons', 'slow_near_schools']"
3,motorcycle,['jump_a_ravine']
4,airplane,"['arrive_at_the_airport', 'circle_an_airport', 'travel_through_many_time_zones', 'bank_quickly', 'travel_faster_than_a_car', 'carry_immigrants', 'circle_an_airfield', 'cross_the_ocean', 'travel_across_the_world', 'land_at_the_airstrip', 'circle_the_airport_before_landing', 'seat_passengers', 'lift_a_person', 'land_in_the_field', 'land_on_a_landing_strip', 'reach_its_destination', 'crash_if_something_goes_wrong', 'circle_around_the_airport', 'fly_upwards', 'roll_down_the_runway']"
5,bus,"['transport_people', 'drive_to_the_city', 'go_into_town', 'near_a_terminal', 'stop_at_the_corner', 'take_you_across_the_country', 'drive_down_the_street', 'transport_many_people_at_once', 'carry_passengers', 'seat_its_capacity']"
6,train,"['arrive_late', 'near_its_destination', 'run_on_railroad_tracks', 'arrive_on_schedule', 'be_arriving_at_a_station', 'near_the_station', 'arrive_at_a_city', 'jump_its_tracks', 'arrive_early', 'arrive_at_a_station', 'transport_mail', 'shunt_from_one_track_to_another', 'arrive_on_time', 'be_passing_slowly', 'slow_down']"
7,truck,"['pull_a_trailer', 'carry_cargo', 'drive_down_the_street', 'travel_on_a_road', 'use_deisal_fuel', 'box_in_a_car', 'carry_cows', 'stock_a_warehouse', 'supply_a_power_plant_with_coal', 'salt_a_street']"
8,boat,"['ship_cargo', 'go_on_the_water', 'bus_refugees', 'settle_lower', 'get_to_a_floating_football', 'cross_a_river', 'be_sailing_against_the_wind', 'take_you_to_an_island', 'be_neaped_at_high_tide', 'list_to_one_side', 'bottom_out', 'sail_through_the_sea', 'bottom_out_on_a_sand_bar', 'swim_on_water', 'sail_on_a_pond', 'near_the_dock', 'weather_a_storm_on_the_sea', 'bottom_out_in_shallow_water', 'go_sailing_on_a_lake']"
9,traffic_light,['stop_cars']
10,fire_hydrant,[]
11,stop_sign,[]
12,parking_meter,[]
13,bench,[]
14,bird,"['sing', 'spread_the_wings', 'chirp', 'sing_a_song', 'be_a_pet', 'build_a_nest', 'fly', 'fly_high', 'head_south', 'learn_to_fly', 'land_on_a_branch', 'prepare_a_nest', 'sing_to_other_birds', 'be_resting_on_a_telephone_wire', ""injur_it's_wing_if_it_falls"", 'travel_across_the_world', 'grow_to_a_larger_size', 'attempt_to_fly', 'sing_some_notes', 'eye_a_fish']"
15,cat,"['hunt_mice', 'drink_water', 'catch_a_mouse', 'climb_up_a_tree', 'corner_a_mouse', 'look_at_a_king', 'kill_birds', 'mother_her_kittens', 'scratch', 'drink_milk', 'catch_a_bird', 'scratch_furniture', 'wash_its_paws', 'cleaning_itself', 'sleep', 'meow', 'eye_a_mouse', 'eat_cat_food', 'sun_itself', 'see_in_the_dark']"
