,Object,RelatedVerbs
0,alarm_clock,"['awaken', 'ring', 'go_off', 'clock_time', 'clock', 'waking_you_up', 'wake_up_at_a_certain_time', 'waking_at_a_specified_time']"
1,aluminum_foil,['bake_things_in']
2,apple,"['eating', 'sate_hunger', 'making_apple_pie', 'getting_good_carbs', 'getting_good_grades_from_a_teacher', 'representing_knowlege', 'enjoy_the_fruit', 'making_applesauce', 'tempting_eve', 'make_a_pie', 'illustrating_gravity_to_Sir_Isaac_Newton', 'growing_apple_trees', 'picking_from_the_tree_when_ripe', 'test_your_theory_of_gravity', 'pie', 'munching', 'computing', 'bait_a_trap', 'illustrating_the_letter_A', 'making_pie']"
3,arm_chair,"['sitting_in', 'sitter', 'resting_in', 'sitting', 'seat', 'relaxing_in', 'sit_in', 'watching_television', 'relaxing', 'lounging_in', 'a_living_room_or_family_room', 'watching_television_while_sitting_in', 'identifying_the_host', 'reading', 'the_head_of_a_table', 'resting']"
4,baseball_bat,"['hit_a_baseball', 'kill_somebody']"
5,basketball,"['throw', 'bounc', 'making_a_basket', 'spin_on_a_finger', 'passing', 'throwing_through_a_hoop_or_basket', 'dribbling', 'shooting_a_basket', 'throwing', 'getting_your_team_more_points', 'bouncing', 'smash_windows_(not_recommended_)', 'bouncing_around_a_court']"
6,bathtub,"['bathing', 'take_a_bath_in', 'soak_in', 'soaking_in', 'take_a_warm_bath', 'baths', 'bathe', 'cleaning_the_body', 'give_the_dog_a_bath', 'make_gin', 'get_clean', 'bathe_in', 'make_beer', 'take_a_bath', 'getting_clean']"
7,bathtub_basin,[]
8,bed,"['have_sex', 'Resting_on', 'making_love', 'fucking_in', 'lie_down', 'sit_on', 'sleep', 'resting', 'hold', 'reading_in', 'lying_down', 'napping_on', 'having_sex_in', 'laying_down', 'reading', 'sitting_on', 'having_sex', 'a_person_to_sleep', 'laying_on', 'going_to_bed']"
9,blinds,"['keep_out_light_from_houses', 'cover_your_window']"
10,book,"['learning', 'entertainment', 'studying', 'education', 'learn', 'developing_perspective', 'study', 'learn_from', 'recording_charges_in_a_police_register', 'learning_about_soccer', 'finding_out_about_the_world', 'publishing_what_you_write', 'keeping_track_of_hotel_facilities', 'showing_the_way', 'learning_about_painting', 'learning_about_Christian_theology', 'learning_about_folklore', 'resolving_disputes', 'gathering_data_in_one_place', 'learning_about_etiquette']"
11,boots,['keep_your_feet_warm']
12,bottle,"['storing_liquids', 'storing_liquid', 'hold', 'drinking_from', 'holding_juice', 'store_liquid', 'feed_a_baby', 'pouring_liquid_from', 'hold_a_drink', 'holding_soda', 'keep_pills_in', 'Feeding_a_baby', 'keeping_liquid_in', 'carrying_drinks_around_in', 'pouring_liquid_into', 'storing_beer', 'holding_water']"
